,Name,Jupyter/IPython Version,Language(s) Version,3rd party dependencies,Example Notebooks,Notes
0,D-lang,Jupyter,DMD,,,
1,Micronaut,,"Python>=3.7.5, Groovy>3",Micronaut,https://github.com/stainlessai/micronaut-jupyter/blob/master/examples/basic-service/notebooks/use-library.ipynb,Compatible with BeakerX
2,Agda kernel,,2.6.0,,https://mybinder.org/v2/gh/lclem/agda-kernel/master?filepath=example/LabImp.ipynb,
3,Dyalog Jupyter Kernel,,APL (Dyalog),Dyalog >= 15.0,Notebooks,Can also be run on TryAPL's Learn tab
4,Coarray-Fortran,Jupyter 4.0,Fortran 2008/2015,"GFortran >= 7.1, OpenCoarrays, MPICH >= 3.2","Demo, Binder demo",Docker image
5,LFortran,,,,Binder demo,Main repository at GitLab
6,Ansible Jupyter Kernel,Jupyter 5.6.0.dev0,Ansible 2.x,,Hello World,
7,sparkmagic,Jupyter >=4.0,"Pyspark (Python 2 & 3), Spark (Scala), SparkR (R)",Livy,"Notebooks, Docker Images",This kernels are implemented via the magics machinery of the ipython kernel to use Spark via Livy
8,sas_kernel,Jupyter 4.0,python >= 3.3,SAS 9.4 or higher,,
9,IPyKernel,Jupyter 4.0,"python 2.7, >= 3.3",pyzmq,,
10,IJulia,,julia >= 0.3,,,
11,IHaskell,,ghc >= 7.6,,,Demo
12,IRuby,,ruby >= 2.3,,,
13,tslab,,"Typescript 3.7.2, JavaScript ESNext",Node.js,Example notebooks,Jupyter kernel for JavaScript and TypeScript - npm
14,IJavascript,,nodejs >= 0.10,,,
15,ITypeScript,,Typescript >= 2.0,Node.js >= 0.10.0,,
16,jpCoffeescript,,coffeescript >= 1.7,,,
17,jp-LiveScript,,livescript >= 1.5,,,Based on IJavascript and jpCoffeescript
18,ICSharp,Jupyter 4.0,C# 4.0+,scriptcs,,
19,IRKernel,IPython 3.0,R 3.2,rzmq,,
20,SageMath,Jupyter 4,Any,many,,
21,pari_jupyter,Jupyter 4,PARI/GP >= 2.9,,,
22,IFSharp,Jupyter 4,F#,,Features,
23,lgo,"Jupyter >= 4, JupyterLab",Go >= 1.8,ZeroMQ (4.x),Example,Docker image
24,iGalileo,"Jupyter >= 4, JupyterLab",Galileo >= 0.1.3,,,Docker image
25,gopherlab,"Jupyter 4.1, JupyterLab",Go >= 1.6,ZeroMQ (4.x),examples,"Deprecated, use gophernotes"
26,Gophernotes,"Jupyter 4, JupyterLab, nteract",Go >= 1.9,ZeroMQ 4.x.x,examples,docker image
27,IGo,,Go >= 1.4,,,"Unmaintained, use gophernotes"
28,IScala,,Scala,,,
29,almond (old name: Jupyter-scala),IPython>=3.0,Scala>=2.10,,examples,Docs
30,IErlang,IPython 2.3,Erlang,rebar,,
31,ITorch,IPython >= 2.2 and <= 5.x,Torch 7 (LuaJIT),,,
32,IElixir,Jupyter >= 4.0,Elixir >= 1.5,"Erlang OTP >= 19.3, Rebar","example, Boyle package manager examples, Boyle examples with usage of Matrex library","IElixir Docker image, IElixir Notebook in Docker"
33,ierl,Jupyter >= 4.0,"Erlang >= 19, Elixir >= 1.4, LFE 1.2","Erlang, (optional) Elixir",,
34,IAldor,IPython >= 1,Aldor,,,
35,IOCaml,IPython >= 1.1,OCaml >= 4.01,opam,,
36,OCaml-Jupyter,Jupyter >= 4.0,OCaml >= 4.02,opam,Example,Docker image
37,IForth,IPython >= 3,Forth,,,
38,peforth,IPython 6/Jupyter 5,Forth,,Example,python debugger in FORTH syntax
39,IPerl,,Perl 5,,,
40,Perl6,Jupyter >= 4,Perl 6.c,zeromq 4,,
41,IPerl6,,Perl 6,,,
42,Jupyter-Perl6,Jupyter,Perl 6.C,Rakudo Perl 6,,
43,IPHP,IPython >= 2,PHP >= 5.4,composer,,"DEPRECATED, use Jupyter-PHP"
44,Jupyter-PHP,Jupyter 4.0,PHP >= 7.0.0,"composer, php-zmq",,
45,IOctave,Jupyter,Octave,,Example,MetaKernel
46,IScilab,Jupyter,Scilab,,Example,MetaKernel
47,MATLAB Kernel,Jupyter,Matlab,pymatbridge,Example,MetaKernel
48,Bash,IPython >= 3,bash,,,Wrapper
49,Z shell,IPython >= 3,zsh >= 5.3,,,
50,Pharo Smalltalk,IPython >= 3,Mac Os X,,Binder demo,"Paro 64 bits native kernel, zeromq"
51,PowerShell,IPython >= 3,Windows,,,"Wrapper, Based on Bash Kernel"
52,CloJupyter,Jupyter,Clojure >= 1.7,,,
53,CLJ-Jupyter,Jupyter,Clojure,,,Abandoned as of 2017-02-12
54,jupyter-kernel-jsr223,Jupyter>=4.0,Clojure 1.8,"clojure-jrs223, Java>=7",,Java based JSR223 compliant
55,Hy Kernel,Jupyter,Hy,,Tutorial,treats Hy as Python pre-processor
56,Calysto Hy,Jupyter,Hy,,Tutorial,"based on MetaKernel (magics, shell, parallel, etc.)"
57,Redis Kernel,IPython >= 3,redis,,,Wrapper
58,jove,,io.js,,,
59,jp-babel,Jupyter,Babel,,,
60,ICalico,IPython >= 2,multiple,,Index,
61,IMathics,,Mathics,,,
62,IWolfram,,Wolfram Mathematica,"Wolfram Mathematica(R), Metakernel",,MetaKernel
63,Lua Kernel,,Lua,,,
64,IPurescript,,Purescript,,,
65,IPyLua,,Lua,,,Fork of Lua Kernel
66,ILua,,Lua,,,
67,Calysto Scheme,,Scheme,,Reference Guide,MetaKernel
68,Calysto Processing,,Processing.js >= 2,,,MetaKernel
69,idl_kernel,,IDL,,,IDL seem to have a built-in kernel starting with version 8.5
70,Mochi Kernel,,Mochi,,,
71,Lua (used in Splash),,Lua,,,
72,Apache Toree (formerly Spark Kernel),Jupyter,"Scala, Python, R",Spark >= 1.5,Example,
73,Skulpt Python Kernel,,Skulpt Python,,Examples,MetaKernel
74,Calysto Bash,,bash,,,MetaKernel
75,MetaKernel Python,,python,,,MetaKernel
76,IVisual,,VPython,,Ball-in-Box,
77,IBrainfuck,,Brainfuck,,Example,Wrapper
78,KDB+/Q Kernel (IKdbQ),IPython >= 3.1,Q,"qzmq, qcrypt",,
79,KDB+/Q Kernel (KdbQ Kernel),Jupyter,Q,,,
80,PyQ Kernel,Jupyter,Q,,Python for kdb+,
81,ICryptol,,Cryptol,CVC4,,
82,cling,Jupyter 4,C++,,Example,
83,xeus-cling,Jupyter >= 5.1,C++,,Example,Supports Jupyter widgets
84,Xonsh,,Xonsh,,Example,MetaKernel
85,Prolog,,Prolog,,,MetaKernel
86,SWI-Prolog,Jupyter >=4.0,SWI-Prolog,,,https://hub.docker.com/r/jm1337/jupyter-prolog-notebook/
